"ObjectName","IndexName","index_id","user_seeks","user_scans","user_lookups","Total Reads","Writes","Index Type","Fill Factor","has_filter","filter_definition","last_user_scan","last_user_lookup","last_user_seek"
"TNDSERV6","PK_TNDSERV6","1","0","39116","0","39116","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"TNDSERV4","PK_TNDSERV4","1","0","39116","0","39116","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"TNDSERV9","PK_TNDSERV9","1","0","39116","0","39116","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"TNDSERV7","PK_TNDSERV7","1","0","39116","0","39116","39","CLUSTERED","0","False","","12/11/2025 4:22:45 PM","",""
"TNDSERV19","PK_TNDSERV19","1","0","39113","0","39113","40","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV18","PK_TNDSERV18","1","0","39112","0","39112","40","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV20","PK_TNDSERV20","1","0","39111","0","39111","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV21","PK_TNDSERV21","1","0","39110","0","39110","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV22","PK_TNDSERV22","1","0","39110","0","39110","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV28","PK_TNDSERV28","1","0","39110","0","39110","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV26","PK_TNDSERV26","1","0","39110","0","39110","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV27","PK_TNDSERV27","1","0","39110","0","39110","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV24","PK_TNDSERV24","1","0","39110","0","39110","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV25","PK_TNDSERV25","1","0","39110","0","39110","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV23","PK_TNDSERV23","1","0","39110","0","39110","39","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV30","PK_TNDSERV30","1","0","39033","0","39033","0","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"TNDSERV29","PK_TNDSERV29","1","0","39032","0","39032","0","CLUSTERED","0","False","","12/11/2025 4:22:51 PM","",""
"SieuThi","PK__SieuThi__0777106D","1","8846","26869","0","35715","1208","CLUSTERED","0","False","","12/11/2025 4:21:55 PM","","12/11/2025 4:10:09 PM"
"ExceptionPOS","PK_ExceptionPOS","1","0","24291","0","24291","0","CLUSTERED","0","False","","9/10/2025 12:08:44 AM","",""
"Sync","PK_Sync","1","0","22924","0","22924","86618","CLUSTERED","0","False","","12/11/2025 3:00:00 PM","",""
"CTPhatSinh_KhuyenMai","PK_CTPhatSinh_KhuyenMai","1","31","14865","0","14896","278227","CLUSTERED","0","False","","12/11/2025 3:00:01 PM","","5/27/2025 5:26:21 PM"
"CauHinhKetNoi","PK_CauHinhKetNoi","1","13139","261","0","13400","16","CLUSTERED","0","False","","12/5/2025 11:00:38 AM","","12/11/2025 4:21:46 PM"
"CTPhatSinh_KhuyenMaiPOS","PK_CTPhatSinh_KhuyenMaiPOS","1","0","9587","3630","13217","134416173","CLUSTERED","0","False","","12/11/2025 3:00:01 PM","12/11/2025 3:07:42 PM",""
"DMLoaiKH","PK_DMLoaiKH","1","0","11626","0","11626","0","CLUSTERED","0","False","","12/11/2025 4:06:44 PM","",""
"DMThuNhap","PK_DMThuNhap","1","0","11625","0","11625","0","CLUSTERED","0","False","","12/11/2025 4:06:44 PM","",""
"NgheNghiep","PK__NgheNghiep__5B638405","1","0","11625","0","11625","0","CLUSTERED","0","False","","12/11/2025 4:06:44 PM","",""
"DMNguonDKyKH","PK_DMNguonDKyKH","1","0","11625","0","11625","0","CLUSTERED","0","False","","12/11/2025 4:06:44 PM","",""
"TichLuyTrongNgay","IX_TichLuyTrongNgay","2","0","10863","0","10863","493","NONCLUSTERED","0","False","","12/11/2025 3:07:27 PM","",""
"ConstString1","PK__ConstString1__607251E5","1","9904","0","0","9904","0","CLUSTERED","0","False","","","","12/11/2025 4:06:41 PM"
"CapDo_HinhThuc","PK__CapDo_HinhThuc__3449B6E4","1","0","8483","0","8483","0","CLUSTERED","0","False","","12/11/2025 4:17:15 PM","",""
"CTPhatSinh05","PK__CTPhatSinh05","1","4","1936","5451","7391","1","CLUSTERED","0","False","","12/9/2025 2:42:16 PM","12/11/2025 3:35:52 PM","5/31/2025 10:19:54 AM"
