"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"TNDSERV5","PK_TNDSERV5","1","39","39116","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
"TNDSERV9","PK_TNDSERV9","1","39","39116","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
"TNDSERV28","PK_TNDSERV28","1","39","39110","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV23","PK_TNDSERV23","1","39","39110","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV21","PK_TNDSERV21","1","39","39110","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV20","PK_TNDSERV20","1","39","39111","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV22","PK_TNDSERV22","1","39","39110","CLUSTERED","0","False","","","12/10/2025 11:40:21 PM"
"TNDSERV7","PK_TNDSERV7","1","39","39116","CLUSTERED","0","False","","","12/10/2025 11:40:00 PM"
"MSreplication_objects","ucMSreplication_objects","1","36","18","CLUSTERED","0","False","","","12/8/2025 10:18:37 AM"
"History_INVTSERV12","","0","30","0","HEAP","0","False","","","12/10/2025 11:30:29 PM"
"CTKhuyenMaiPOS","PK_CTKhuyenMaiPOS","1","29","134225904","CLUSTERED","0","False","","","12/11/2025 12:04:44 PM"
"History_TNDSERV12","","0","28","0","HEAP","0","False","","","12/10/2025 11:40:21 PM"
"KhuVuc","PK__KhuVuc__6B1AC8E1","1","21","1562","CLUSTERED","0","False","","","7/30/2025 12:03:27 PM"
"CauHinhKetNoi","PK_CauHinhKetNoi","1","16","13400","CLUSTERED","0","False","","","11/7/2025 8:04:11 PM"
"MSsnapshotdeliveryprogress","","0","13","24","HEAP","0","False","","","12/8/2025 10:18:37 AM"
"MSsnapshotdeliveryprogress","ci_MSsnapshotdeliveryprogress_progress_token_hash","2","13","0","NONCLUSTERED","0","False","","","12/8/2025 10:18:37 AM"
"MSsnapshotdeliveryprogress","nci_MSsnapshotdeliveryprogress_session_token","3","13","4","NONCLUSTERED","0","False","","","12/8/2025 10:18:37 AM"
"LichSuHuyChietKhauPOS","PK_LichSuHuyGiaoDich","1","9","0","CLUSTERED","0","False","","","10/16/2025 3:05:51 PM"
"DMQuaySUD","PK_DMQuaySUD","1","5","12","CLUSTERED","0","False","","","11/30/2025 4:26:41 PM"
"DMQuyen","PK__DMQuyen__4A38F803","1","4","1128","CLUSTERED","0","False","","","11/28/2025 4:04:33 PM"
"CTNhomQuyen","PK__CTNhomQuyen__4FF1D159","1","4","1071","CLUSTERED","0","False","","","11/28/2025 4:04:33 PM"
"CauHinhHeThong","PK_CauHinhHeThong","1","3","132870","CLUSTERED","0","False","","","9/30/2025 4:04:02 PM"
"CTDMQuyen","PK_CTDMQuyen","1","3","0","CLUSTERED","0","False","","","10/13/2025 11:30:59 AM"
"CTQuyenNhomNhanVien","PK_CTQuyenNhomNhanVien","1","3","13","CLUSTERED","0","False","","","10/15/2025 11:04:42 AM"
"ScriptTable","","0","2","6","HEAP","0","False","","","12/4/2025 2:08:44 PM"
"CTPhatSinh_KhuyenMai06","PK_CTPhatSinh_KhuyenMai06","1","1","17","CLUSTERED","0","False","","","7/12/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai06","IX_CTPhatSinh_KhuyenMai06","2","1","0","NONCLUSTERED","0","False","","","7/12/2025 1:00:00 AM"
"CTPhatSinh10","PK__CTPhatSinh10","1","1","7157","CLUSTERED","0","False","","","11/11/2025 1:00:00 AM"
"CTPhatSinh10","IX_CTPhatSinh_MaThe13","2","1","845","NONCLUSTERED","0","False","","","11/11/2025 1:00:00 AM"
"CTPhatSinh_KhuyenMai08","PK_CTPhatSinh_KhuyenMai08","1","1","17","CLUSTERED","0","False","","","9/12/2025 1:00:01 AM"
"CTPhatSinh_KhuyenMai08","IX_CTPhatSinh_KhuyenMai08","2","1","0","NONCLUSTERED","0","False","","","9/12/2025 1:00:01 AM"
"CTPhatSinh07","PK__CTPhatSinh07","1","1","7305","CLUSTERED","0","False","","","8/11/2025 1:00:00 AM"
"CTPhatSinh07","IX_CTPhatSinh_MaThe13","2","1","3213","NONCLUSTERED","0","False","","","8/11/2025 1:00:00 AM"
"CTPhatSinh03","PK__CTPhatSinh03","1","1","7080","CLUSTERED","0","False","","","4/11/2025 1:00:00 AM"
