"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact","Table Name","Table Rows"
"32.53","12/11/2025 3:42:02 PM","[KHTT_ST].[dbo].[TNDSERV11]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","50","4.30","15.12","TNDSERV11","76377"
"27.01","12/11/2025 1:00:21 AM","[KHTT_ST].[dbo].[CTPhatSinh]","8","2","[DaVanChuyen]","","[ID], [NgayNhap]","1","1","70.96","38.06","CTPhatSinh","328254"
"23.35","12/11/2025 3:44:03 PM","[KHTT_ST].[dbo].[TNDSERV13]","1","1","","[DATE]","[TX_NO], [TIME], [REGISTER], [TILLID], [SEQNUM]","1","50","4.04","11.57","TNDSERV13","51862"
"12.70","12/11/2025 3:00:00 PM","[KHTT_ST].[dbo].[Sync]","6","2","[Type], [IsComplete]","","[ID]","8","14","1.03","88.23","Sync","91112"
"11.69","12/11/2025 3:00:00 PM","[KHTT_ST].[dbo].[Sync]","6","1","[Type]","","[guid], [ID]","14","14","1.13","74","Sync","91112"
"10.55","12/8/2025 11:26:36 AM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai04]","1","1","[CTPhatSinhID]","","","13","16","4.81","13.72","CTPhatSinh_KhuyenMai04","35915"
"8.65","12/8/2025 11:26:36 AM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai07]","1","1","[CTPhatSinhID]","","","11","12","5.54","13.02","CTPhatSinh_KhuyenMai07","41137"
"7.03","10/31/2025 7:02:39 PM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai01]","1","1","[CTPhatSinhID]","","","9","12","4.44","13.2","CTPhatSinh_KhuyenMai01","32083"
"6.34","12/11/2025 3:00:00 PM","[KHTT_ST].[dbo].[Sync]","6","2","[Type], [IsComplete]","","[ID], [DateRequest]","7","7","1.03","88.13","Sync","91112"
"6.33","12/11/2025 3:00:00 PM","[KHTT_ST].[dbo].[Sync]","6","1","[IsComplete]","[Type]","[ID]","4","7","1.15","78.35","Sync","91112"
"5.63","12/11/2025 3:00:00 PM","[KHTT_ST].[dbo].[Sync]","6","1","","[Type]","[guid], [ID]","7","7","1.31","61.55","Sync","91112"
"5.17","12/8/2025 11:26:36 AM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai09]","1","1","[CTPhatSinhID]","","","7","8","5.64","11.45","CTPhatSinh_KhuyenMai09","37200"
"4.63","12/8/2025 2:06:54 PM","[KHTT_ST].[dbo].[NhanVien]","1","1","[TenDangNhap]","","","13","48","0.11","90.23","NhanVien","3186"
"3.90","12/11/2025 3:00:00 PM","[KHTT_ST].[dbo].[Sync]","6","1","[ID], [Type], [IsComplete]","","[DateRequest]","4","4","1.02","95.98","Sync","91112"
"3.30","10/17/2025 7:36:00 AM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai06]","1","1","[CTPhatSinhID]","","","5","6","5.06","10.87","CTPhatSinh_KhuyenMai06","31631"
"3.09","9/16/2025 2:28:34 PM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai05]","1","1","[CTPhatSinhID]","","","4","6","4.02","12.81","CTPhatSinh_KhuyenMai05","29250"
"2.80","8/26/2025 10:22:30 AM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai02]","1","1","[CTPhatSinhID]","","","4","6","3.64","12.83","CTPhatSinh_KhuyenMai02","26088"
"2.70","10/17/2025 7:36:00 AM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai08]","1","1","[CTPhatSinhID]","","","4","5","5.16","10.45","CTPhatSinh_KhuyenMai08","31129"
"1.79","12/11/2025 5:00:00 AM","[KHTT_ST].[dbo].[INVTSERV10]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","2.74","65.11","INVTSERV10","151565"
"1.56","12/11/2025 5:00:01 AM","[KHTT_ST].[dbo].[INVTSERV15]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.89","82.53","INVTSERV15","133338"
"1.42","12/11/2025 5:00:01 AM","[KHTT_ST].[dbo].[INVTSERV16]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.73","82.18","INVTSERV16","120253"
"1.28","12/11/2025 5:00:01 AM","[KHTT_ST].[dbo].[INVTSERV17]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.56","82.19","INVTSERV17","105393"
"1.28","12/11/2025 5:00:01 AM","[KHTT_ST].[dbo].[INVTSERV12]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.99","64.14","INVTSERV12","107263"
"1.25","12/11/2025 5:00:01 AM","[KHTT_ST].[dbo].[INVTSERV14]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.91","65.05","INVTSERV14","105456"
"0.88","12/11/2025 5:00:00 AM","[KHTT_ST].[dbo].[INVTSERV11]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.35","64.84","INVTSERV11","72091"
"0.73","12/11/2025 5:00:01 AM","[KHTT_ST].[dbo].[INVTSERV13]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.15","63.32","INVTSERV13","57724"
"0.73","7/7/2025 11:09:16 AM","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai03]","1","1","[CTPhatSinhID]","","","2","2","2.90","12.59","CTPhatSinh_KhuyenMai03","20820"
