"index_advantage","last_user_seek","Database.Schema.Table","missing_indexes_for_table","similar_missing_indexes_for_table","equality_columns","inequality_columns","included_columns","unique_compiles","user_seeks","avg_total_user_cost","avg_user_impact"
"11.69","2025-12-11 15:00:00","[KHTT_ST].[dbo].[Sync]","6","1","[Type]","","[guid], [ID]","14","14","1.13","74"
"10.55","2025-12-08 11:26:36","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai04]","1","1","[CTPhatSinhID]","","","13","16","4.81","13.72"
"8.90","2025-10-01 14:09:12","[KHTT_ST_TEST].[dbo].[INVTSERV10]","3","1","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [NGAYLAY]","2","3","5.17","57.44"
"8.65","2025-12-08 11:26:36","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai07]","1","1","[CTPhatSinhID]","","","11","12","5.54","13.02"
"7.79","2025-07-15 10:59:25","[msdb].[dbo].[backupset]","6","3","[database_name]","","[backup_set_id]","1","1","7.92","98.36"
"7.79","2025-07-15 10:59:25","[msdb].[dbo].[backupset]","6","3","[database_name]","","[media_set_id]","1","1","7.93","98.16"
"7.03","2025-10-31 19:02:39","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai01]","1","1","[CTPhatSinhID]","","","9","12","4.44","13.2"
"6.34","2025-12-11 15:00:00","[KHTT_ST].[dbo].[Sync]","6","2","[Type], [IsComplete]","","[ID], [DateRequest]","7","7","1.03","88.13"
"6.33","2025-12-11 15:00:00","[KHTT_ST].[dbo].[Sync]","6","1","[IsComplete]","[Type]","[ID]","4","7","1.15","78.35"
"5.79","2025-12-11 07:01:44","[msdb].[dbo].[sysjobhistory]","2","1","[run_status]","","[instance_id], [job_id], [run_date], [run_time]","306","306","0.03","66.88"
"5.63","2025-12-11 15:00:00","[KHTT_ST].[dbo].[Sync]","6","1","","[Type]","[guid], [ID]","7","7","1.31","61.55"
"5.17","2025-12-08 11:26:36","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai09]","1","1","[CTPhatSinhID]","","","7","8","5.64","11.45"
"4.63","2025-12-08 14:06:54","[KHTT_ST].[dbo].[NhanVien]","1","1","[TenDangNhap]","","","13","48","0.11","90.23"
"4.55","2025-11-05 09:34:51","[KHTT_ST_TEST].[dbo].[INVTSERV16]","8","1","[TX_NO], [DATE], [CUSTNUM], [REGISTER], [TILLID]","","[TIME], [SEQNUM], [STORE]","1","1","8.32","54.62"
"4.14","2025-08-27 15:02:00","[KHTT_ST_TEST].[dbo].[DiaChinhMoi]","7","3","[MaGOLDMEM]","","[MaQuanHuyenGOLDMEM], [TenPhuongXaChuanHoa], [TenQuanHuyenChuanHoa]","5","6","0.99","69.57"
"3.90","2025-12-11 15:00:00","[KHTT_ST].[dbo].[Sync]","6","1","[ID], [Type], [IsComplete]","","[DateRequest]","4","4","1.02","95.98"
"3.62","2025-07-25 09:44:59","[KHTT_ST_TEST].[dbo].[INVTSERV16]","8","3","[DALAY_DMH]","","[TX_NO], [DATE], [CUSTNUM], [REGISTER], [TILLID], [STORE]","1","1","4.35","83.23"
"3.46","2025-08-27 14:36:57","[KHTT_ST_TEST].[dbo].[DiaChinhMoi]","7","1","[MaGOLDMEM], [TenQuanHuyenChuanHoa]","","","4","5","0.87","79.78"
"3.30","2025-10-17 07:36:00","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai06]","1","1","[CTPhatSinhID]","","","5","6","5.06","10.87"
"3.28","2025-11-05 09:34:51","[KHTT_ST_TEST].[dbo].[INVTSERV16]","8","1","[TYPE]","","[TX_NO], [DATE], [CUSTNUM], [REGISTER], [TILLID]","1","1","8.32","39.44"
"3.09","2025-09-16 14:28:34","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai05]","1","1","[CTPhatSinhID]","","","4","6","4.02","12.81"
"2.94","2025-09-10 11:26:31","[KHTT_ST_TEST].[dbo].[PhuongXa_GM]","2","2","[MaQuanHuyen]","","","10","11","0.34","78.27"
"2.80","2025-08-26 10:22:30","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai02]","1","1","[CTPhatSinhID]","","","4","6","3.64","12.83"
"2.74","2025-08-26 16:00:57","[KHTT_ST_TEST].[dbo].[DiaChinhMoi]","7","3","[MaGOLDMEM]","","[TEN_QUANHUYEN c?], [TEN_PHUONGXA c?], [TenPhuongXaMoi], [MaQuanHuyenGOLDMEM], [TenPhuongXaChuanHoa], [TenQuanHuyenChuanHoa]","4","4","0.77","88.74"
"2.70","2025-10-17 07:36:00","[KHTT_ST].[dbo].[CTPhatSinh_KhuyenMai08]","1","1","[CTPhatSinhID]","","","4","5","5.16","10.45"
"2.66","2025-07-25 09:42:22","[KHTT_ST_TEST].[dbo].[INVTSERV16]","8","3","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [CUSTNUM], [REGISTER], [TYPE], [SKU_REF], [SELL_UNIT], [VALUE], [QUAN], [SKU], [DEPARTMENT], [SUB_DEPT], [CLASSNUM], [SUB_CLASS], [VENDOR], [TILLID], [SEQNUM], [DALAY_DT], [STORE], [TXDATE], [NGAYLAY]","1","1","4.37","60.88"
"2.37","2025-09-09 11:16:11","[KHTT_ST_TEST].[dbo].[PhuongXa_GM]","2","2","[MaQuanHuyen]","","[MaPhuongXa], [TenPhuongXa], [MaDiaChinh]","2","4","1.55","38.16"
"2.33","2025-09-10 15:44:14","[KHTT_ST_TEST].[dbo].[DanhMucDiaChinh2025_DieuChinh]","14","6","[MaTinhTP_GM]","","[TinhThanhPho_DC], [MaDiaChinh_TinhThanhPho_DC]","5","5","1.10","42.22"
"1.79","2025-12-11 05:00:00","[KHTT_ST].[dbo].[INVTSERV10]","3","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","2.74","65.11"
"1.56","2025-12-11 05:00:01","[KHTT_ST].[dbo].[INVTSERV15]","4","2","[DALAY_DMH]","","[TX_NO], [DATE], [TIME], [REGISTER], [SKU], [TILLID], [SEQNUM], [STORE]","1","1","1.89","82.53"
