"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.ChiThuongCuoiNam","USER_TABLE","PK__ChiThuongCuoiNam__674A37FD","1/1/2025 5:27:50 AM","False","False","False","False","False","2426167","50901"
"dbo.Version","USER_TABLE","PK_Version","1/1/2025 1:31:56 AM","False","False","False","False","False","10","2"
"dbo.UpdateList","USER_TABLE","PK_UpdateList","1/1/2025 1:31:55 AM","False","False","False","False","False","38","4074"
"dbo.TinhTP","USER_TABLE","PK__TinhTP__44801EAD","1/1/2025 1:31:53 AM","False","False","False","False","False","35","2"
"dbo.QuocGia","USER_TABLE","PK__QuocGia__597B3B93","1/1/2025 1:31:53 AM","False","False","False","False","False","141","6"
"dbo.QuaTang","USER_TABLE","PK__QuaTang__3DD3211E","1/1/2025 1:31:52 AM","False","False","False","False","False","47","2"
"dbo.NhomQuyen","USER_TABLE","PK__NhomQuyen__4C214075","1/1/2025 1:31:51 AM","False","False","False","False","False","11","2"
"dbo.NhomNhanVien","USER_TABLE","PK__NhomNhanVien__27E3DFFF","1/1/2025 1:31:51 AM","False","False","False","False","False","18","2"
"dbo.NhanThuong_QuaTang_CapDo","USER_TABLE","PK__NhanThuong_QuaTa__6383C8BA","1/1/2025 1:31:49 AM","False","False","False","False","False","276","5"
"dbo.NhanThuong_QuaTang","USER_TABLE","PK__NhanThuong_QuaTa__60283922","1/1/2025 1:31:48 AM","False","False","False","False","False","1606","18"
"dbo.NhanThuong","USER_TABLE","PK__NhanThuong__66D536B1","1/1/2025 1:31:48 AM","False","False","False","False","False","1422","1462"
"dbo.NhaCungCap","USER_TABLE","PK__NhaCungCap__51DA19CB","1/1/2025 1:31:48 AM","False","False","False","False","False","2","2"
"dbo.NgheNghiep","USER_TABLE","PK__NgheNghiep__5B638405","1/1/2025 1:31:48 AM","False","False","False","False","False","8","2"
"dbo.LyDo","USER_TABLE","PK__LyDo__3335971A","1/1/2025 1:31:48 AM","False","False","False","False","False","18","2"
