"ObjectName","Table Rows","index_id","Index Data Compression","create_date","lock_on_bulk_load","is_replicated","has_replication_filter","is_tracked_by_cdc","lock_escalation_desc","is_filetable","is_memory_optimized","durability_desc"
"MSmerge_identity_range","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_log_files","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_metadataaction_request","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_partition_groups","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_partition_groups","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_past_partition_mappings","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_past_partition_mappings","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_past_partition_mappings","0","3","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_replinfo","1","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_sessions","11","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_sessions","11","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_sessions","11","3","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_sessions","11","4","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_sessions","11","5","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_settingshistory","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_supportability_settings","0","0","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_supportability_settings","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_tombstone","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSmerge_tombstone","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSrepl_errors","0","1","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
"MSrepl_errors","0","2","NONE","1/28/2019 10:16:37 AM","False","False","False","False","TABLE","False","False","SCHEMA_AND_DATA"
