"ObjectName","IndexName","index_id","Writes","Total Reads","Index Type","Fill Factor","has_filter","filter_definition","last_system_update","last_user_update"
"MonthlySelling_Report112021","","0","0","3","HEAP","0","False","","7/15/2025 5:35:05 PM",""
"MonthlySelling_Report052024","","0","0","0","HEAP","0","False","","7/15/2025 3:22:27 PM",""
"sysmergepartitioninfo","uc1sysmergepartitioninfo","1","0","1843","CLUSTERED","0","False","","",""
"Monthly_Promotion052024","","0","0","0","HEAP","0","False","","7/15/2025 3:17:17 PM",""
"SieuThi","","0","","","HEAP","0","False","","",""
"MSmerge_identity_range","uclidrange","1","","","CLUSTERED","0","False","","",""
"POLLC8","","0","","","HEAP","0","False","","",""
"MSmerge_conflicts_info","uc1MSmerge_conflicts_info","1","","","CLUSTERED","0","False","","",""
"MSmerge_conflicts_info","nc1MSmerge_conflicts_info","2","","","NONCLUSTERED","0","False","","",""
"Monthly_Promotion112025","","0","","","HEAP","0","False","","",""
"TichLuy112025","","0","","","HEAP","0","False","","",""
"Monthly_Promotion102025","","0","","","HEAP","0","False","","",""
"TichLuy102025","","0","","","HEAP","0","False","","",""
"TichLuy082025","","0","","","HEAP","0","False","","",""
"LOAI_DMKH_DOT1","","0","","","HEAP","0","False","","",""
"sysmergepublications","nc2sysmergepublications","3","","","NONCLUSTERED","0","False","","",""
"Temp","","0","","","HEAP","0","False","","",""
"MSmerge_errorlineage","uc1errorlineage","1","","","CLUSTERED","0","False","","",""
"ASthi","","0","","","HEAP","0","False","","",""
"CBCNV","","0","","","HEAP","0","False","","",""
"AQuaTet_28122012","","0","","","HEAP","0","False","","",""
"sysmergeschemaarticles","uc1sysmergeschemaarticles","1","","","CLUSTERED","0","False","","",""
"CBCNV-VIP","","0","","","HEAP","0","False","","",""
"SieuthiKtra","","0","","","HEAP","0","False","","",""
"ADMMATHEPRICECALOGY_SGC","","0","","","HEAP","0","False","","",""
"AQuaTet_DatDk","","0","","","HEAP","0","False","","",""
"QueryResults419285","","0","","","HEAP","0","False","","",""
"LOAI_DMKH_DOT1_1den12","","0","","","HEAP","0","False","","",""
"MSmerge_settingshistory","c1MSmerge_settingshistory","1","","","CLUSTERED","0","False","","",""
"sa","","0","","","HEAP","0","False","","",""
"POllC8_SG","","0","","","HEAP","0","False","","",""
"SGC_ApplicationItem","MSmerge_index_2073058421","2","","","NONCLUSTERED","0","False","","",""
"MSmerge_conflict_FrontEndDB109_SGC_ApplicationItem","","0","","","HEAP","0","False","","",""
"MSmerge_conflict_FrontEndDB109_SGC_ApplicationItem","ncMSmerge_conflict_FrontEndDB109_SGC_ApplicationItem","2","","","NONCLUSTERED","0","False","","",""
"MSmerge_conflict_FrontEndDB109_SGC_Attachment","","0","","","HEAP","0","False","","",""
"MSmerge_conflict_FrontEndDB109_SGC_Attachment","ncMSmerge_conflict_FrontEndDB109_SGC_Attachment","2","","","NONCLUSTERED","0","False","","",""
"SGC_Attachment","","0","","","HEAP","0","False","","",""
"SGC_Attachment","MSmerge_index_2105058535","2","","","NONCLUSTERED","0","False","","",""
"MSmerge_conflict_FrontEndDB109_SGC_DocumentDetail","","0","","","HEAP","0","False","","",""
"MSmerge_conflict_FrontEndDB109_SGC_DocumentDetail","ncMSmerge_conflict_FrontEndDB109_SGC_DocumentDetail","2","","","NONCLUSTERED","0","False","","",""
"SGC_DocumentDetail","","0","","","HEAP","0","False","","",""
"SGC_DocumentDetail","MSmerge_index_5575058","2","","","NONCLUSTERED","0","False","","",""
"SGC_DocumentIssue","MSmerge_index_37575172","2","","","NONCLUSTERED","0","False","","",""
"MSmerge_conflict_FrontEndDB109_SGC_DocumentIssue","","0","","","HEAP","0","False","","",""
"MSmerge_conflict_FrontEndDB109_SGC_DocumentIssue","ncMSmerge_conflict_FrontEndDB109_SGC_DocumentIssue","2","","","NONCLUSTERED","0","False","","",""
